Timestamp,Travelling time,Study hour,Wasting time,Sleep hours,Lectures,Enter your roll number?,Pointer
4/21/2020 21:50:56,Between 1 and 2 hours,4,2,7,80,1921005,9.73
4/21/2020 21:51:51,Between 1 and 2 hours,2,5,9,10,1811113,7.51
4/21/2020 21:52:10,More than 2 hours,0,5,5,70,1811106,9.26
4/21/2020 21:53:33,Less than 1 hour,10,6,8,95,1811111,9.63
4/21/2020 21:54:01,Less than 1 hour,0,4,5,15,1811071,7.94
4/21/2020 22:05:34,Less than 1 hour,1,2,8,77,1921009,8.05
4/21/2020 21:55:51,Between 1 and 2 hours,2,2,8,85,1811122,9.54
4/21/2020 21:57:54,Between 1 and 2 hours,3,6,6,90,1811126,9.35
4/21/2020 22:04:18,Less than 1 hour,1,3,9,75,1811042,9.08
4/21/2020 22:08:11,Less than 1 hour,3,4,8,60,1811088,5.95
4/21/2020 22:08:28,More than 2 hours,2,3,8,60,1811107,8.67
4/21/2020 22:12:48,Between 1 and 2 hours,0,6,9,40,1811070,7.52
4/21/2020 22:12:58,Less than 1 hour,1,3,9,68,1811097,8.77
4/21/2020 22:28:34,Less than 1 hour,1,3,7,70,1811100,8.37
4/21/2020 22:30:11,More than 2 hours,3,3,6,70,1921002,9.73
4/21/2020 22:32:28,Between 1 and 2 hours,1,10,7,70,1811004,7.83
4/21/2020 23:09:51,Between 1 and 2 hours,4,4,8,80,1921010,8.55
4/21/2020 23:11:03,Less than 1 hour,1,4,7,60,1921008,8
4/21/2020 23:14:59,More than 2 hours,1,4,6,75,1921011,8.23
4/21/2020 23:17:37,More than 2 hours,4,3,7,75,1811125,8.74
4/21/2020 23:27:16,Between 1 and 2 hours,3,3,7,75,1811090,9.48
4/21/2020 23:31:40,Less than 1 hour,1,1,7,50,1811053,9.34
4/22/2020 8:38:58,Less than 1 hour,3,5,9,75,1811020,8.52
4/22/2020 10:16:24,Less than 1 hour,3,5,7,98,1811098,8.91
4/22/2020 13:31:38,Less than 1 hour,1,12,9,15,1811119,6.28
4/22/2020 14:05:01,Between 1 and 2 hours,3,5,7,85,1811117,9.36
4/22/2020 14:05:14,Between 1 and 2 hours,2,4,6,95,1811123,9.5
4/22/2020 14:07:35,Less than 1 hour,0,4,8,60,1811121,8.3
4/22/2020 14:07:45,Between 1 and 2 hours,2,3,8,75,1921012,6.86
4/22/2020 14:11:09,Between 1 and 2 hours,1,4,8,75,1811104,9.11
4/22/2020 14:12:14,Between 1 and 2 hours,4,5,9,90,1811110,9.45
4/22/2020 14:14:58,Less than 1 hour,4,3,9,70,1811092,9.5
4/22/2020 14:16:55,Between 1 and 2 hours,1,3,7,75,1811091,8.9
4/22/2020 14:29:26,Less than 1 hour,3,2,7,65,1811030,8.78
4/22/2020 14:32:34,Between 1 and 2 hours,1,3,8,65,1811014,9.16
4/22/2020 14:38:13,Less than 1 hour,1,12,11,40,1811006,9.24
4/22/2020 14:38:30,More than 2 hours,1,2,7,86,1811101,9.15
4/22/2020 14:44:34,Less than 1 hour,3,2,8,93,1811109,9.65
4/22/2020 15:00:50,Between 1 and 2 hours,2,6,9,70,1811103,9.35
4/22/2020 15:33:42,Less than 1 hour,1,3,9,85,1811095,9.66
4/22/2020 16:40:15,Less than 1 hour,2,3,6,60,1811003,7.53
4/22/2020 17:57:33,More than 2 hours,3,4,7,65,1811094,8.75
4/22/2020 17:59:04,Between 1 and 2 hours,2,6,8,84,1811008,9.08
4/22/2020 18:04:11,Between 1 and 2 hours,1,5,8,50,1811112,8
4/22/2020 18:22:46,Less than 1 hour,1,5,7,80,1811078,8.93
4/22/2020 18:27:59,More than 2 hours,2,1,7,90,1811118,9.52
4/22/2020 20:47:38,Less than 1 hour,1,6,8,20,1811073,6.95
4/22/2020 22:36:50,Less than 1 hour,1,3,10,38,1811127,9.07
4/23/2020 10:51:50,Less than 1 hour,0,5,8,65,1811079,9.18
